"Ｋ-02 電灯及び電力需要_　電灯需要_    従量電灯(Ａ)","　(百万kwh)","1156.0","1168.0","","1320.0","1385.0","1459.0","1502.0","1517.0","1572.0","1717.0","1779.0","1788.0","1775.0","1865.0","1893.0","1893.0","1881.0","1884.0","1800.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電灯需要_    従量電灯(Ｂ)","　(百万kwh)","152.0","159.0","","184.0","196.0","213.0","221.0","229.0","244.0","259.0","269.0","276.0","281.0","292.0","302.0","307.0","310.0","314.0","319.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電灯需要_    臨時電灯","　(百万kwh)","2.0","3.0","","4.0","5.0","5.0","5.0","5.0","5.0","6.0","5.0","6.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電灯需要_    時間帯別電灯","　(百万kwh)","","","","-","-","-","5.0","9.0","14.0","26.0","38.0","47.0","57.0","67.0","76.0","77.0","73.0","71.0","67.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電灯需要_　　季節別時間帯別電灯","　(百万kwh)","","","","","","","","","","","","-","-","－","－","13.0","46.0","97.0","161.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電力需要","　(百万kwh)","2834.0","2702.0","","3084.0","3283.0","3494.0","3626.0","3546.0","3582.0","3767.0","3775.0","3866.0","4001.0","3951.0","4015.0","4049.0","3857.0","3833.0","3843.0","3945.0","509.0","476.0","492.0","460.0","425.0",""
"Ｋ-02 電灯及び電力需要_　電力需要_　　業務用電力","　(百万kwh)","564.0","586.0","","691.0","740.0","793.0","837.0","860.0","911.0","1019.0","1055.0","1105.0","1135.0","1199.0","1234.0","1127.0","1135.0","1149.0","1139.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電力需要_　　小口電力","　(百万kwh)","893.0","901.0","","968.0","970.0","993.0","1015.0","999.0","1010.0","1073.0","1071.0","1077.0","1070.0","1099.0","1112.0","1112.0","1093.0","1097.0","1082.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電力需要_　　大口電力","　(百万kwh)","1097.0","943.0","","1178.0","1340.0","1487.0","1561.0","1481.0","1457.0","1480.0","1463.0","1507.0","1631.0","1491.0","1508.0","1653.0","1481.0","1446.0","1490.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電力需要_    臨時電力","　(百万kwh)","3.0","3.0","","4.0","4.0","6.0","7.0","6.0","6.0","9.0","5.0","4.0","5.0","5.0","7.0","6.0","6.0","6.0","7.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_　電力需要_　　その他電力","　(百万kwh)","277.0","268.0","","243.0","229.0","215.0","206.0","201.0","198.0","186.0","181.0","172.0","161.0","162.0","154.0","151.0","143.0","136.0","126.0","           X","           X","           X","           X","           X","           X",""
"Ｋ-02 電灯及び電力需要_自己発自己消費","　(百万kwh)","1177.0","1173.0","","1185.0","1205.0","1236.0","1249.0","1240.0","1208.0","1208.0","1238.0","1228.0","1246.0","1213.0","1218.0","1248.0","1213.0","1210.0","1239.0","1223.0","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｋ-03 産業別使用電力量_ 電気事業用関西電力（株）__計","百万kwh","2834.0","2702.0","","3084.0","3283.0","3487.0","3777.0","3546.0","3582.0","3767.0","3775.0","3866.0","4001.0","3951.1","4016.001","4049.0","3857.0","3833.0","3843.0","          X "," ","","","","",""
"Ｋ-03 産業別使用電力量_ 電気事業用関西電力（株）_５００ＫＷ未満","百万kwh","1603.0","1619.0","","1739.0","1797.0","1792.0","1989.0","1823.0","1863.0","1982.0","1996.0","1929.5","1931.0","2096.0","2119.0","2130.0","2119.0","2142.0","2117.0","          X ","          X ","          X ","          X ","          X ","          X ",""
"Ｋ-03 産業別使用電力量_ 電気事業用関西電力（株）_５００ＫＷ以上_ 建設業","百万kwh","2.0","0.0","","-","-","－ ","-","1.0","3.0","-","－ ","0.5","1.0","0.1","0.001","3.0","17.0","19.0","15.0","          X ","          X ","          X ","          X ","          X ","          X ",""
"Ｋ-03 産業別使用電力量_ 電気事業用関西電力（株）_５００ＫＷ以上_ 製造業","百万kwh","892.0","751.0","","962.0","1089.0","1215.0","1293.0","1238.0","1213.0","1226.0","1207.0","1339.0","1463.0","1233.0","1250.0","1274.0","1101.0","1070.0","1117.0","          X ","          X ","          X ","          X ","          X ","          X ",""
"Ｋ-03 産業別使用電力量_ 電気事業用関西電力（株）_５００ＫＷ以上_ 公益事業","百万kwh","171.0","175.0","","193.0","200.0","208.0","210.0","209.0","209.0","220.0","221.0","223.0","228.0","223.0","220.0","219.0","209.0","198.0","191.0","          X ","          X ","          X ","          X ","          X ","          X ",""
"Ｋ-03 産業別使用電力量_ 電気事業用関西電力（株）_５００ＫＷ以上_ その他産業","百万kwh","166.0","156.0","","191.0","196.0","272.0","286.0","276.0","294.0","339.0","351.0","374.0","378.0","399.0","427.0","423.0","411.0","404.0","403.0","          X ","          X ","          X ","          X ","          X ","          X ",""
