"項目","単位","1985.0","1986.0","1987.0","1988.0","1989.0","1990.0","1991.0","1992.0","1993.0","1994.0","1995.0","1996.0","1997.0","1998.0","1999.0","2000.0","2001.0","2002.0","2003.0","2004.0","2005.0","2006.0","2007.0","2008.0","2009.0","有効数字(少数桁)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｆ-04 田畑別耕地面積_田畑計","ha","43200.0","42900.0","42700.0","42500.0","41600.0","41000.0","40600.0","40300.0","40100.0","39800.0","39400.0","39000.0","38500.0","38000.0","37600.0","37200.0","36800.0","36400.0","36400.0","36400.0","37000.0","36800.0","36500.0","36000.0","35600.0","35000.0"
"Ｆ-04 田畑別耕地面積_　田計","ha","15700.0","15400.0","15200.0","15000.0","14800.0","14500.0","14300.0","14100.0","13900.0","13700.0","13400.0","13200.0","12900.0","12700.0","12400.0","12200.0","12000.0","11900.0","11900.0","11800.0","11700.0","11400.0","11200.0","10900.0","10700.0","10500.0"
"Ｆ-04 田畑別耕地面積_　　普通田","ha","15700.0","15400.0","15200.0","15000.0","14800.0","14500.0","14300.0","14100.0","13900.0","13700.0","13400.0","13200.0","12900.0","12700.0","12400.0","12200.0","12000.0","11900.0","11900.0","11800.0","11700.0","11400.0","11200.0","10900.0","10700.0","10500.0"
"Ｆ-04 田畑別耕地面積_　　特殊田","ha","2.0","1.0","1.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.1","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ "
"Ｆ-04 田畑別耕地面積_　畑計","ha","27500.0","27500.0","27500.0","27500.0","26800.0","26500.0","26300.0","26200.0","26200.0","26100.0","26000.0","25800.0","25500.0","25300.0","25100.0","25000.0","24700.0","24600.0","24500.0","24700.0","25200.0","25400.0","25300.0","25100.0","24900.0","24500.0"
"Ｆ-04 田畑別耕地面積_　　普通畑","ha","2350.0","2420.0","2470.0","2480.0","2830.0","2720.0","2720.0","2580.0","2590.0","2560.0","2490.0","2500.0","2450.0","2410.0","2320.0","2250.0","2210.0","2160.0","2150.0","2180.0","2600.0","2570.0","2560.0","2540.0","2530.0","2580.0"
"Ｆ-04 田畑別耕地面積_　　樹園地","ha","25100.0","25000.0","25000.0","25000.0","23900.0","23700.0","23500.0","23600.0","23500.0","23500.0","23500.0","23200.0","23000.0","22800.0","22800.0","22700.0","22500.0","22400.0","22300.0","22400.0","22600.0","22800.0","22700.0","22500.0","22300.0","21900.0"
"Ｆ-04 田畑別耕地面積_　　牧草地","ha","57.0","59.0","61.0","61.0","61.0","62.0","62.0","63.0","63.0","67.0","62.0","62.0","62.0","60.0","60.0","58.0","58.0","51.0","50.0","41.0","40.0","41.0","41.0","41.0","41.0","41.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｆ-05 耕地の拡張・かい廃面積_  総数_      拡張_計","ha","176.0","","","","","123.0","27.0","49.0","73.0","71.0","37.0","19.0","117.0","40.0","1.0","6.0","35.0","66.0","48.0","178.0","637.0","199.0","148.0","72.0","17.0","18.0"
"Ｆ-05 耕地の拡張・かい廃面積_  総数_      拡張_開墾","ha","149.0","","","","","122.0","27.0","49.0","73.0","71.0","37.0","19.0","117.0","40.0","1.0","6.0","35.0","34.0","48.0","124.0","113.0","72.0","83.0","55.0","－ ","1.0"
"Ｆ-05 耕地の拡張・かい廃面積_  総数_      拡張_干拓・埋立て","ha","-","","","","","-","-","-","-","－","－","－","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ "
"Ｆ-05 耕地の拡張・かい廃面積_  総数_      拡張_復旧","ha","0.0","","","","","1.0","-","-","-","0.0","－","0.0","－ ","0.0","－ ","－ ","0.0","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ "
"Ｆ-05 耕地の拡張・かい廃面積_  総数_      拡張_田畑転換","ha","27.0","","","","","-","-","-","-","－","－","－","－ ","－ ","－ ","－ ","－ ","32.0","0.0","54.0","41.0","127.0","65.0","17.0","17.0","17.0"
"Ｆ-05 耕地の拡張・かい廃面積_  総数_      かい廃_計","ha","253.0","","","","","739.0","455.0","362.0","293.0","353.0","373.0","480.0","633.0","526.0","383.0","431.0","444.0","388.0","112.0","123.0","107.0","327.0","465.0","579.0","449.0","231.0"
"Ｆ-05 耕地の拡張・かい廃面積_  総数_      かい廃_自然災害","ha","-","","","","","0.0","-","-","0.0","－","0.0","－","0.0","－ ","－ ","0.0","－ ","－ ","－ ","－ ","－ ","－ ","－ ","－ ","7.0","－ "
