"項目","単位","1985.0","1986.0","1987.0","1988.0","1989.0","1990.0","1991.0","1992.0","1993.0","1994.0","1995.0","1996.0","1997.0","1998.0","1999.0","2000.0","2001.0","2002.0","2003.0","2004.0","2005.0","2006.0","2007.0","2008.0","2009.0","2010.0","有効数字(少数桁)"
"Ｖ-04 市町村別職員数及び平均給料（報酬）月額_うち一般行政職_平均年齢","百円","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","3422.41","3470.14","3532.38","3542.090748898678","3549.2603244837765","3323.26","3311.08","3347.47","3533.0","3341.8","3295.166666666667","3243.6666666666665","3210.3","3141.0333333333333"
"Ｖ-04 市町村別職員数及び平均給料（報酬）月額_うち一般行政職_平均給料月額","百円","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","7193.2","7221.2","7231.2","7239.2","7239.2","7149.8","7043.8","6806.81","6801.92","6767.933333333333","6698.266666666666","6676.9","6669.566666666667","6709.1"
"Ｖ-04 市町村別職員数及び平均給料（報酬）月額_ 市町村長の平均給料月額","百円","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","2427.6","2242.4","2242.4","2459.0","2459.0","2449.02","2439.0","2430.64","2687.17","3469.0","2720.0","2721.6666666666665","2725.0","2741.6666666666665"
"Ｖ-04 市町村別職員数及び平均給料（報酬）月額_議長、副議長を除く市町村議会議員の平均報酬月額","人","793712.0","･･･","･･･","･･･","･･･","814550.0","･･･","828256.0","836570.0","844805.0","858410.0","853419.0","861662.0","864804.0","866598.0","867859.0","868118.0","867907.0","867489.0","867083.0","865570.0","863076.0","860094.0","856633.0","852946.0","848993.0","842334.0"
"Ｖ-05 市町村別選挙人名簿登録者","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","834026.0","･･･","･･･","857214.0","","","","865848.0","","","865681.0","","863347.0","","","","850860.0","","837801.0"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙_有権者数","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","389538.0","･･･","･･･","401232.0","","","","405036.0","","","404376.0","","403076.0","","","","396304.0","","390240.0"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙__男","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","444488.0","･･･","･･･","455982.0","","","","460812.0","","","461305.0","","460271.0","","","","454556.0","","447561.0"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙__女","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","628966.0","･･･","･･･","578958.0","","","","568727.0","","","522278.0","","597823.0","","","","610063.0","","514188.0"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙_投票者数","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","289467.0","･･･","･･･","266977.0","","","","264460.0","","","241913.0","","276507.0","","","","285635.0","","242726.0"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙__男","人","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","339499.0","･･･","･･･","311981.0","","","","304267.0","","","280365.0","","321316.0","","","","324428.0","","271462.0"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙__女","％","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","75.41323651780641","･･･","･･･","67.53949422197958","","","","65.68439264166459","","","60.33146158919972","","69.24481118252568","","","","71.7","","61.37352426172802"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙_ 投票率","％","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","74.3103368605887","･･･","･･･","66.53930892850022","","","","65.2929616132887","","","59.82377787010109","","68.59922198295111","","","","72.07","","62.19915949159491"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙__男","％","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","76.3797897806015","･･･","･･･","68.419586738073","","","","66.0284454397889","","","60.77649277592916","","69.81017704786963","","","","71.37","","60.65363157200918"
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ａ．衆議院議員選挙__女","","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","･･･","","","","","","","","","","","","","","","",""
"","人","･･･","･･･","･･･","･･･","･･･","･･･","","825850.0","･･･","･･･","･･･","･･･","･･･","862898.0","･･･","･･･","866118.0","･･･","･･･","865857.0","","","860395.0","","","848458.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙_有権者数","人","･･･","･･･","･･･","･･･","･･･","･･･","","385635.0","･･･","･･･","･･･","･･･","･･･","404217.0","･･･","･･･","404908.0","･･･","･･･","404586.0","","","401518.0","","","395027.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙___男","人","･･･","･･･","･･･","･･･","･･･","･･･","","440215.0","･･･","･･･","･･･","･･･","･･･","458681.0","･･･","･･･","461210.0","･･･","･･･","461271.0","","","458877.0","","","453431.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙___女","人","･･･","･･･","･･･","･･･","･･･","･･･","","438736.0","･･･","･･･","･･･","･･･","･･･","402624.0","･･･","･･･","510429.0","･･･","･･･","505893.0","","","510594.0","","","503823.0",""
"Ｖ-06 市町村，選挙別有権者数及び投票率_Ｂ．参議院和歌山県選挙区選出議員選挙_投票者数","人","･･･","･･･","･･･","･･･","･･･","･･･","","204217.0","･･･","･･･","･･･","･･･","･･･","187072.0","･･･","･･･","236461.0","･･･","･･･","236384.0","","","238982.0","","","236764.0",""
